Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,Comment
0,FayetteV,145.210000,-,0.600000,Tone,131.8,88.5,23,NN,23,Tone->Tone,FM,"GA S12 | Sys, AllStar+EchoLink, Wide, Nets | https://tinyurl.com/29fqemp4"
1,Anderson,442.825000,+,5.000000,TSQL,127.3,127.3,23,NN,23,Tone->Tone,FM,"SC S12 | Sys, AllStar+EchoLink, Wide, Nets | https://tinyurl.com/295oqzna"
2,McCain-M,442.250000,+,5.000000,TSQL,107.2,107.2,23,NN,23,Tone->Tone,FM,"NC S12 | Sys, AllStar+EchoLink, Wide, Nets | https://tinyurl.com/23raeot8"
3,Henderso,444.375000,+,5.000000,TSQL,100.0,100.0,23,NN,23,Tone->Tone,FM,"NC S11 | Sys, AllStar+EchoLink, Wide, Nets | https://tinyurl.com/2bxmf66n"
4,Raleigh-,441.725000,+,5.000000,TSQL,100.0,100.0,23,NN,23,Tone->Tone,FM,"NC S11 | Sys, AllStar+EchoLink, Wide, Nets | https://tinyurl.com/273662j8"
5,SnowCmp-,443.450000,+,5.000000,TSQL,100.0,100.0,23,NN,23,Tone->Tone,FM,"NC S11 | Sys, AllStar+EchoLink, Wide, Nets | https://tinyurl.com/24dj5sdy"
6,London-R,147.180000,+,0.600000,Tone,74.4,88.5,23,NN,23,Tone->Tone,FM,"KY S10 | Sys, AllStar+EchoLink, Wide, Nets | https://tinyurl.com/283j4ywg"
7,Williams,444.050000,+,5.000000,Tone,100.0,88.5,23,NN,23,Tone->Tone,FM,"KY S10 | Sys, AllStar+EchoLink, Wide | https://tinyurl.com/275odwek"
8,Coats-Am,444.550000,+,5.000000,TSQL,100.0,100.0,23,NN,23,Tone->Tone,FM,"NC S10 | Sys, AllStar+EchoLink, Wide, Nets | https://tinyurl.com/29kqo54r"
9,HollySpg,444.325000,+,5.000000,TSQL,100.0,100.0,23,NN,23,Tone->Tone,FM,"NC S10 | Sys, AllStar+EchoLink, Wide, Nets | https://tinyurl.com/2bdov4gg"
10,Wendell-,444.875000,+,5.000000,TSQL,100.0,100.0,23,NN,23,Tone->Tone,FM,"NC S10 | Sys, AllStar, Wide, Nets | https://tinyurl.com/2apqgqzq"
11,Fowler-W,444.825000,+,5.000000,TSQL,173.8,173.8,23,NN,23,Tone->Tone,FM,"IN S10 | Sys, AllStar, Wide, Nets | https://tinyurl.com/2ydvshur"
12,Columbia,442.725000,+,5.000000,TSQL,131.8,131.8,23,NN,23,Tone->Tone,FM,"NC S10 | Sys, EchoLink, Wide, Nets | https://tinyurl.com/27bjrxqp"
13,CedarGro,147.150000,+,0.600000,Tone,123.0,88.5,23,NN,23,Tone->Tone,FM,"GA S09 | Sys, Wide, Nets | https://tinyurl.com/28n7ndqf"
14,Commerce,146.850000,-,0.600000,Tone,131.8,88.5,23,NN,23,Tone->Tone,FM,"GA S09 | Sys, AllStar+EchoLink, Wide | https://tinyurl.com/2ce4mwo7"
15,Thomasto,147.390000,+,0.600000,TSQL,131.8,131.8,23,NN,23,Tone->Tone,FM,"GA S09 | Sys, Wide, Nets | https://tinyurl.com/2378uy8q"
16,Hickman-,145.270000,-,0.600000,TSQL,100.0,100.0,23,NN,23,Tone->Tone,FM,"KY S09 | Sys, AllStar+EchoLink, Wide | https://tinyurl.com/2c9tocfe"
17,Cochran-,145.490000,-,1.000000,Tone,77.0,88.5,23,NN,23,Tone->Tone,FM,"GA S09 | Sys, Wide, Nets | https://tinyurl.com/278y95un"
