Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,Pembroke,462.550000,+,5.000000,TSQL,74.4,74.4,023,NN,023,Tone->Tone,FM,5.00,,10W,GA | Bryan | Pembroke | WQVH552,,,,
2,PineMoun,462.550000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10W,"GA | Harris | Pine Mountain, FDR State Park | WRXY699",,,,
3,Rockmart,462.550000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,GA | Polk | Rockmart | WRMG494,,,,
4,Gainesvi,462.600000,+,5.000000,DTCS,88.5,88.5,365,NN,365,Tone->Tone,FM,5.00,,10W,"GA | Forsyth | Gainesville, Lanierland park | WSEM262",,,,
5,Savannah,462.600000,+,5.000000,TSQL,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,10W,"GA | Chatham | Savannah, Savannah Bridge | WRYW942",,,,
6,Ellersli,462.625000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10W,"GA | Harris | Ellerslie, Pine Ridge Elementary School | WRXY699",,,,
7,Jasper,462.625000,+,5.000000,TSQL,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"GA | Pickens | Jasper, Mount Oglethorpe | WSEM262",,,,
8,Brinson,462.650000,+,5.000000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,GA | Decatur | Brinson | WSLT378,,,,
9,Columbus,462.675000,+,5.000000,TSQL,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,10W,GA | Muscogee | Columbus | WRKM219,,,,
10,Elberton,462.675000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10W,GA | Elbert | Elberton | WRUR889,,,,
11,Valdosta,462.675000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10W,GA | Lowndes | Valdosta | WSLM685,,,,
12,Chatswor,462.725000,+,5.000000,DTCS,88.5,88.5,732,NN,732,Tone->Tone,FM,5.00,,10W,"GA | Murray | Chatsworth, Grassy Mountain | WSKA713",,,,
13,Columbus,462.725000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10W,"GA | Muscogee | Columbus, Aflac Tower | WRXY699",,,,
14,Lakeland,462.725000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,GA | Lanier | Lakeland | WRFT652 | unverified,,,,
15,Waleska,462.725000,+,5.000000,DTCS,88.5,88.5,411,NN,411,Tone->Tone,FM,5.00,,10W,"GA | Cherokee | Waleska, Pine log mountian | WQZC882",,,,
16,Albion,462.550000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10W,IL | Edwards | Albion | WROG922,,,,
17,CissnaPa,462.550000,+,5.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,IL | Iroquois | Cissna Park | WRFJ994,,,,
18,Danville,462.550000,+,5.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,IL | Vermilion | Danville | WRVH998,,,,
19,Rantoul,462.550000,+,5.000000,TSQL,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,10W,IL | Champaign | Rantoul | wshp782,,,,
20,Rantoul,462.550000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,IL | Champaign | Rantoul | wshp782,,,,
21,Robinson,462.550000,+,5.000000,TSQL,71.9,71.9,023,NN,023,Tone->Tone,FM,5.00,,10W,IL | Crawford | Robinson | WSBX655,,,,
22,Salem,462.550000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10W,IL | Marion | Salem | wsdr538,,,,
23,Rockford,462.575000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,IL | Winnebago | Rockford | WRKY475,,,,
24,Urbana,462.575000,+,5.000000,TSQL,74.4,74.4,023,NN,023,Tone->Tone,FM,5.00,,10W,IL | Champaign | Urbana | WRTB528,,,,
25,Belnap,462.600000,+,5.000000,Tone,179.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"IL | Massac | Belnap, New Columbia Bluff | Wrcs451",,,,
26,Chicago,462.600000,+,5.000000,TSQL,192.8,192.8,023,NN,023,Tone->Tone,FM,5.00,,10W,IL | Cook | Chicago | WQYP964,,,,
27,Savanna,462.600000,+,5.000000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,10W,IL | Carroll | Savanna | WRTA578,,,,
28,Danville,462.625000,+,5.000000,TSQL,173.8,173.8,023,NN,023,Tone->Tone,FM,5.00,,10W,IL | Vermilion | Danville | WRTB528,,,,
29,Olmsted,462.625000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10W,"IL | Pulaski | Olmsted, Water Tower | WROW973",,,,
30,Ava,462.650000,+,5.000000,TSQL,82.5,82.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"IL | Jackson | Ava, Marlboro 650 | WSGV743",,,,
31,Brocton,462.650000,+,5.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,IL | Edgar | Brocton | WRTB528,,,,
