Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
160,BCoEMS,460.162500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Buncombe EMS Dispatch,,,,
161,BCoMed5,463.100000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Buncombe EMS Patient Reports MED-5,,,,
162,BCo340,155.340000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Buncombe EMS Patient Reports 340 HEAR,,,,
163,BCoFrPag,154.815000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Buncombe Fire Paging (Also Fire Backup),,,,
164,BCoFrCom,155.610000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Buncombe Fire Comm,,,,
165,BCoFrMA,158.805000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Buncombe Fire Mutual Aid Net,,,,
166,BCoFrF1,155.565000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Buncombe Fireground 1,,,,
167,BCoFrF2,151.430000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Buncombe Fireground 2,,,,
168,BCoFrF3,155.730000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Buncombe Fireground 3,,,,
169,BCoFrF4,158.865000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Buncombe Fireground 4,,,,
170,NCFire,154.280000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,State Fire (national fire mutual aid),,,,
171,NCEMS,155.280000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,State EMS/Rescue 280,,,,
172,SARCmn,155.160000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,SAR Common (National SAR),,,,
173,SkylandX,155.565000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Buncombe Fire Skyland Rebroadcast,,,,
174,BCoFrMed,154.062500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Buncombe Fire Med,,,,
175,FairVFD,159.352500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Fairview VFD Repeater,,,,
176,RynoVFD,154.175000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Reynolds VFD Repeater,,,,
177,RiceVFD,154.295000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Riceville VFD Repeater,,,,
178,SkyVFD,154.355000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Skyland VFD Repeater,,,,
179,AVLFrDsp,158.820000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Asheville Fire Dispatch (Patched to TRS),,,,
180,AVLSchl,152.405000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Asheville Schools,,,,
