Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
60,GNewland,462.725000,+,5.000000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC | Avery | Newland, Grandfather Mtn | WRNU734",,,,
61,GWilkesb,462.675000,+,5.000000,TSQL,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC | Wilkes | Wilkesboro, LITTLE BUSHY MOUNTAIN | WRPN236",,,,
62,GHickory,462.600000,+,5.000000,TSQL,146.2,146.2,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC | Alexander | Hickory, Barretts Mountain | WRKH438",,,,
63,GGastoni,462.575000,+,5.000000,DTCS,88.5,88.5,311,NN,311,Tone->Tone,FM,5.00,,10W,NC | Gaston | Gastonia | WQQF940,,,,
64,GGreensb,462.600000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC | Guilford | Greensboro, Battleground 600 | WRQW960",,,,
65,GBurling,462.625000,+,5.000000,TSQL,156.7,156.7,023,NN,023,Tone->Tone,FM,5.00,,10W,NC | Alamance | Burlington | WRKH438,,,,
66,GMccain,462.675000,+,5.000000,TSQL,85.4,85.4,023,NN,023,Tone->Tone,FM,5.00,,10W,NC | Moore | Mccain | WRPE796,,,,
67,GHamlet,462.625000,+,5.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,NC | Richmond | Hamlet | WQLP990,,,,
68,GRaleigh,462.725000,+,5.000000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC | Wake | Raleigh, Fairgrounds | WPTP281",,,,
69,GDurham,462.550000,+,5.000000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,10W,NC | Durham | Durham | WRUP989,,,,
70,GGoldsbo,462.600000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10W,NC | Wayne | Goldsboro | WRMF881,,,,
71,GGreenvi,462.700000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC | Pitt | Greenville, Pactolus | WRWE772",,,,
72,GAhoskie,462.550000,+,5.000000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,10W,NC | Hertford | Ahoskie | WRZJ725,,,,
73,GNewport,462.575000,+,5.000000,DTCS,88.5,88.5,315,NN,315,Tone->Tone,FM,5.00,,10W,NC | Carteret | Newport | WQEN357,,,,
74,GBuxton,462.725000,+,5.000000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,10W,NC | Dare | Buxton | WRZY287,,,,
160,MtAiry-F,443.425000,+,5.000000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC S07 | Sys, Wide | https://tinyurl.com/24txfg3g",,,,
161,Mooresvi,443.825000,+,5.000000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC S07 | Sys, Wide | https://tinyurl.com/27287rq6",,,,
162,Charlott,442.125000,+,5.000000,DTCS,88.5,88.5,315,NN,315,Tone->Tone,FM,5.00,,10W,"NC S08 | Sys, AllStar+EchoLink, Wide | https://tinyurl.com/2dp8tjg5",,,,
163,WinstonS,145.250000,-,0.600000,TSQL,97.4,97.4,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC S07 | Sys, EchoLink, Wide | https://tinyurl.com/29pvuvg5",,,,
164,GreenVll,147.090000,+,0.600000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC S09 | Sys, AllStar+EchoLink, Wide, Nets | https://tinyurl.com/28c8qd5b",,,,
165,McCain-M,442.250000,+,5.000000,TSQL,107.2,107.2,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC S12 | Sys, AllStar+EchoLink, Wide, Nets | https://tinyurl.com/23raeot8",,,,
166,Hamlet-K,146.955000,-,0.600000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC S06 | Link, AllStar, Wide, Nets | https://tinyurl.com/24w8tkwm",,,,
167,Raleigh,441.725000,+,5.000000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC S11 | Sys, AllStar+EchoLink, Wide, Nets | https://tinyurl.com/273662j8",,,,
168,Durham-C,444.925000,+,5.000000,TSQL,94.8,94.8,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC S08 | Sys, AllStar, Wide, Nets | https://tinyurl.com/2ck87p65",,,,
169,Oxford-W,145.170000,-,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC S09 | Sys, AllStar+EchoLink, Wide | https://tinyurl.com/28pad5j3",,,,
170,NewBern,442.075000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,NC S06 | Sys | https://tinyurl.com/2bcv3lhk,,,,
171,Wilmingt,444.500000,+,5.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC S06 | Sys, AllStar, Nets | https://tinyurl.com/2yasqhyx",,,,
172,Hertford,147.330000,+,0.600000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC S06 | Sys, Wide | https://tinyurl.com/24ug39g5",,,,
173,KillDevi,145.110000,-,0.600000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC S09 | Sys, EchoLink, Wide, Nets | https://tinyurl.com/2383ujjy",,,,
174,Ocracoke,444.225000,+,5.000000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC S09 | Sys, EchoLink, Nets | https://tinyurl.com/27qj2kzn",,,,
