Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
100,70cmCall,446.000000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,National 70cm FM calling (SERA FUP-440),,,,
101,2mCall,146.520000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,National 2m FM calling (SERA FUP-144),,,,
102,2mSim1,146.535000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,2m FM simplex (SERA),,,,
103,2mSim2,146.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,2m FM simplex (SERA),,,,
104,2mSim3,146.565000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,2m FM simplex (SERA),,,,
105,2mSim4,146.580000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,2m FM simplex (SERA) | Somerset KY (LCARA) club simplex,,,,
106,2mSim5,146.595000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,2m FM simplex (SERA),,,,
107,2mSim6,147.525000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,2m FM simplex (SERA),,,,
108,2mSim7,147.540000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,2m FM simplex (SERA),,,,
109,2mSim8,147.555000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,2m FM simplex (SERA),,,,
110,2mSim9,147.570000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,2m FM simplex (SERA) | Monticello KY (LCARA) club simplex,,,,
111,2mSim10,147.585000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,2m FM simplex (SERA),,,,
112,70cSim1,445.925000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,70cm FM simplex (SERA),,,,
113,70cSim2,445.950000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,70cm FM simplex (SERA),,,,
114,70cSim3,445.975000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,70cm FM simplex (SERA),,,,
115,70cSim4,446.025000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,70cm FM simplex (SERA),,,,
116,70cSim5,446.050000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,70cm FM simplex (SERA),,,,
117,70cSim6,446.075000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,70cm FM simplex (SERA),,,,
118,70cSim7,446.100000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,70cm FM simplex (SERA),,,,
119,70cSim8,446.125000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,70cm FM simplex (SERA),,,,
120,70cSim9,446.150000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,70cm FM simplex (SERA),,,,
121,70cSim10,446.175000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,70cm FM simplex (SERA),,,,
