Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
110,BakersV,145.310000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Bakersville K4CF (WCARS) - no tone,,,,
111,BearU1,442.450000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Bearwallow WA4TOG (WCARS) - no tone,,,,
112,BearU2,444.250000,+,5.000000,Tone,91.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Bearwallow WA4KNI; access 91.5 encode-only (carrier RX so never missed),,,,
113,BearV1,145.270000,-,0.600000,Tone,91.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Bearwallow WA4KNI; RB up 91.5 down blank -> Tone 91.5,,,,
114,BearV2,146.640000,-,0.600000,Tone,91.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Bearwallow WB4YAO; RB up 91.5 down blank -> Tone 91.5,,,,
115,BearV3,147.105000,+,0.600000,Tone,91.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Bearwallow WA4KNI; RB up 91.5 down 79.7 mismatch -> Tone 91.5,,,,
116,BurnsvV,147.375000,+,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Burnsville KD4WAR (WCARS) - no tone,,,,
117,CantonV,146.805000,+,0.600000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Canton KI4GMA; access 94.8 encode-only (RB tone ambiguous),,,,
118,CashrsV,145.350000,-,0.600000,Tone,151.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Cashiers KD4CED; RB 151.4 in+out but WCARS says 100.0 - VERIFY,,,,
119,ChmbrsV,147.390000,+,0.600000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Chambers Mtn N4DTR; RB up 94.8 down CSQ -> Tone 94.8,,,,
120,ClngmnU1,442.225000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Clingmans Pk N4YR (WCARS) - no tone,,,,
121,ClngmnU2,443.600000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Clingmans Pk N2GE (WCARS) - no tone,,,,
122,ClngmnV,145.190000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Clingmans Pk/Mt Mitchell N2GE (WCARS) - no tone,,,,
123,CoweeU,444.375000,+,5.000000,Tone,131.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Cowee Mtn N4DTR; encode-only 131.8 - no output tone per RB/N4DTR,,,,
124,FranklnV,147.240000,-,0.600000,Tone,151.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Franklin W4GHZ; RB up 151.4 down blank -> Tone 151.4,,,,
125,PinBrvV,147.135000,+,0.840000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Pinnacle Mtn S of Brevard K4HXZ (WCARS) - no tone,,,,
126,PinHenV,145.255000,-,1.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Pinnacle Mtn Henderson KJ4JAL (WCARS) - no tone,,,,
127,PisgahV,146.760000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Mt Pisgah N2GE (WCARS) - no tone,,,,
128,SpiveyV,146.910000,-,0.600000,Tone,91.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Spivey Mtn W4MOE; RB up 91.5 down blank -> Tone 91.5,,,,
129,UtahMtU,444.450000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Utah Mtn Waynesville N4DTR (WCARS) - no tone,,,,
130,WolfRdV,147.180000,+,0.600000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Wolf Ridge K4MFD; access 94.8 encode-only (RB not fetched),,,,
131,SpiveyU,442.650000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Spivey Mtn K4HCU 70cm; WNC RP codeplug Tone 100.0 (encode-only),,,,
