Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
31,GAlexndr,462.675000,+,5.000000,TSQL,71.9,71.9,023,NN,023,Tone->Tone,FM,5.00,,10W,Alexander (RB+WNCRP) 71.9,,,,
32,GSpiveyM,462.725000,+,5.000000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Spivey Mtn; RB encode-only 141.3 (WNC RP codeplug uses TSQL) - kept Tone to never miss,,,,
33,GBearwal,462.650000,+,5.000000,TSQL,118.8,118.8,023,NN,023,Tone->Tone,FM,5.00,,10W,Bearwallow Mnt (RB) 118.8,,,,
34,GDavisMt,462.550000,+,5.000000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Big Willow/Davis Mtn (WNC RP codeplug + RB Etowah) TSQL 136.5,,,,
35,GBlkMtnE,462.625000,+,5.000000,TSQL,203.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Black Mtn Ridgecrest/CERT East (RB) 203.5,,,,
36,GBlkMtnW,462.675000,+,5.000000,TSQL,203.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Black Mtn Allen/CERT West (RB) 203.5,,,,
37,GEchoMtn,462.575000,+,5.000000,TSQL,156.7,156.7,023,NN,023,Tone->Tone,FM,5.00,,10W,Echo Mtn/Echo Lake (WNC RP codeplug - their rptr) TSQL 156.7,,,,
38,GFlatTop,462.600000,+,5.000000,TSQL,156.7,156.7,023,NN,023,Tone->Tone,FM,5.00,,10W,Flat Top Mtn (WNC RP codeplug - their rptr) TSQL 156.7,,,,
39,GFletchr,462.700000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10W,Fletcher (RB+WNCRP) 141.3,,,,
40,GForestC,462.675000,+,5.000000,DTCS,88.5,88.5,205,NN,205,Tone->Tone,FM,5.00,,10W,Forest City Cherry Mtn (RB) DTCS 205,,,,
41,GHaywood,462.600000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10W,Haywood/Maggie Valley (RB) 141.3,,,,
42,GMarion,462.675000,+,5.000000,TSQL,210.7,210.7,023,NN,023,Tone->Tone,FM,5.00,,10W,Marion Grants Mtn (RB) 210.7,,,,
43,GPisgahF,462.575000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10W,Pisgah Forest (WNC RP codeplug) TSQL 141.3,,,,
44,GSwannan,462.550000,+,5.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,10W,Swannanoa (WNC RP codeplug) TSQL 67.0,,,,
45,GTryon,462.650000,+,5.000000,TSQL,91.5,91.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Tryon/Landrum (RB) 91.5,,,,
46,GWeaverv,462.575000,+,5.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Weaverville (WNC RP codeplug) TSQL 88.5,,,,
47,GClyde,462.625000,+,5.000000,TSQL,94.8,94.8,023,NN,023,Tone->Tone,FM,5.00,,10W,Clyde (WNC RP codeplug) TSQL 94.8,,,,
