Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
201,BCoEMS,460.162500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Buncombe EMS Dispatch,,,,
202,BCoMed5,463.100000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Buncombe EMS Patient Reports MED-5,,,,
203,BCo340,155.340000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Buncombe EMS Patient Reports 340 HEAR,,,,
204,BCoFrPag,154.815000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Buncombe Fire Paging (Also Fire Backup),,,,
205,BCoFrCom,155.610000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Buncombe Fire Comm,,,,
206,BCoFrMA,158.805000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Buncombe Fire Mutual Aid Net,,,,
207,BCoFrF1,155.565000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Buncombe Fireground 1,,,,
208,BCoFrF2,151.430000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Buncombe Fireground 2,,,,
209,BCoFrF3,155.730000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Buncombe Fireground 3,,,,
210,BCoFrF4,158.865000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Buncombe Fireground 4,,,,
211,NCFire,154.280000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,State Fire (national fire mutual aid),,,,
212,NCEMS,155.280000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,State EMS/Rescue 280,,,,
213,SARCmn,155.160000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,SAR Common (National SAR),,,,
214,SkylandX,155.565000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Buncombe Fire Skyland Rebroadcast,,,,
215,BCoFrMed,154.062500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Buncombe Fire Med,,,,
216,FairVFD,159.352500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Fairview VFD Repeater,,,,
217,RynoVFD,154.175000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Reynolds VFD Repeater,,,,
218,RiceVFD,154.295000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Riceville VFD Repeater,,,,
219,SkyVFD,154.355000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Skyland VFD Repeater,,,,
220,AVLFrDsp,158.820000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Asheville Fire Dispatch (Patched to TRS),,,,
221,AVLSchl,152.405000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Asheville Schools,,,,
225,AVLTwrU,257.800000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,KAVL Tower (UHF mil),,,,
226,AVLADEU,269.575000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,KAVL App/Dep (UHF mil; VHF-pairing unverified),,,,
227,AVLADWU,351.800000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,KAVL App/Dep (UHF mil; also IFR clearance hdg 080-299),,,,
228,AVLTwrV,121.100000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,Tower / CTAF,,,,
229,AVLGrndV,121.900000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,Ground,,,,
230,UnicomV,122.950000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,UNICOM,,,,
231,AVLADWV,124.650000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,App/Dep (hdg 160-339),,,,
232,AVLADEV,125.800000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,App/Dep (hdg 340-159),,,,
233,AVLAtisV,120.200000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,ATIS,,,,
235,CLTFinV,126.150000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,App/Dep Final,,,,
236,CLTSgtV,125.350000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,App/Dep South gate (BTSEY),,,,
237,CLTNgtV,135.600000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,App/Dep North gate (JOOLS),,,,
238,CLTHiNV,120.500000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,App/Dep North (High),,,,
239,CLTHiSV,124.000000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,App/Dep South (High),,,,
240,CLTLoEV,128.325000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,App/Dep East (Low),,,,
241,CLTLoNV,134.750000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,App/Dep North (Low),,,,
242,CLTLoSV,120.050000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,App/Dep South (Low),,,,
243,CLTTwrLV,118.100000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,Tower RWY 18L/36R,,,,
244,CLTTwrCV,126.400000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,Tower RWY 18C/36C,,,,
