Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
1,"Aragon ",462.575,,5,,88.5,88.5,023,NN,FM,12.5,"Aragon",
2,"Ball Ground Ball Ground",462.575,,5,,88.5,88.5,023,NN,FM,12.5,"Ball Ground, Ball Ground",
3,"Brinson ",462.650,,5,Tone,94.8,88.5,023,NN,FM,12.5,"Brinson",
4,"Buckhead Buckhead",462.600,,5,,88.5,88.5,023,NN,FM,12.5,"Buckhead, Buckhead",
5,"Canton Pine Log Mountain",462.725,,5,TSQL,107.2,107.2,023,NN,FM,12.5,"Canton, Pine Log Mountain",
6,"Chamblee Peachtree 625",462.625,,5,,88.5,88.5,023,NN,FM,12.5,"Chamblee, Peachtree 625",
7,"Chatsworth Ft Mountain",462.600,,5,,88.5,88.5,023,NN,FM,12.5,"Chatsworth, Ft Mountain",
8,"Chatsworth Grassy Mountain",462.725,,5,DTCS,88.5,88.5,732,NN,FM,12.5,"Chatsworth, Grassy Mountain",
9,"Columbus Columbus",462.675,,5,,88.5,88.5,023,NN,FM,12.5,"Columbus, Columbus",
10,"Columbus ",462.675,,5,TSQL,123.0,123.0,023,NN,FM,12.5,"Columbus",
11,"Columbus Aflac Tower",462.725,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Columbus, Aflac Tower",
12,"Draketown Dallas",462.575,,5,,88.5,88.5,023,NN,FM,12.5,"Draketown, Dallas",
13,"Elberton ",462.675,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Elberton",
14,"Ellerslie Pine Ridge Elementary School",462.625,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Ellerslie, Pine Ridge Elementary School",
15,"Gainesville Lanierland park",462.600,,5,DTCS,88.5,88.5,365,NN,FM,12.5,"Gainesville, Lanierland park",
16,"Hahira ",462.650,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Hahira",
17,"Jasper Flagship 675",462.675,,5,,88.5,88.5,023,NN,FM,12.5,"Jasper, Flagship 675",
18,"Jasper "monument"",462.550,,5,,88.5,88.5,023,NN,FM,12.5,"Jasper, "monument"",
19,"Jasper Mount Oglethorpe",462.625,,5,TSQL,103.5,103.5,023,NN,FM,12.5,"Jasper, Mount Oglethorpe",
20,"Lake Park ",462.575,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Lake Park",
21,"Lakeland ",462.725,,5,,88.5,88.5,023,NN,FM,12.5,"Lakeland",
22,"Mcdonough Mcdonough",462.725,,5,,88.5,88.5,023,NN,FM,12.5,"Mcdonough, Mcdonough",
23,"Molena Near griffin reservoir",462.600,,5,,88.5,88.5,023,NN,FM,12.5,"Molena, Near griffin reservoir",
24,"Newnan ",462.650,,5,,88.5,88.5,023,NN,FM,12.5,"Newnan",
25,"Pembroke ",462.550,,5,TSQL,74.4,74.4,023,NN,FM,12.5,"Pembroke",
26,"Pine Mountain FDR State Park",462.550,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Pine Mountain, FDR State Park",
27,"Rockmart ",462.550,,5,,88.5,88.5,023,NN,FM,12.5,"Rockmart",
28,"Rome Rome",462.700,,5,,88.5,88.5,023,NN,FM,12.5,"Rome, Rome",
29,"Savannah Savannah Bridge",462.600,,5,TSQL,123.0,123.0,023,NN,FM,12.5,"Savannah, Savannah Bridge",
30,"Stockbridge ",462.625,,5,TSQL,162.2,162.2,023,NN,FM,12.5,"Stockbridge",
31,"Toccoa Toccoa",462.600,,5,,88.5,88.5,023,NN,FM,12.5,"Toccoa, Toccoa",
32,"Valdosta ",462.600,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Valdosta",
33,"Valdosta ",462.700,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Valdosta",
34,"Valdosta ",462.675,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Valdosta",
35,"Waleska  Pine log mountian",462.725,,5,DTCS,88.5,88.5,411,NN,FM,12.5,"Waleska , Pine log mountian",
36,"Watkinsville ",462.575,,5,,88.5,88.5,023,NN,FM,12.5,"Watkinsville",
37,"Woodstock 34.0666827394933, -84.45471141",462.575,,5,,88.5,88.5,023,NN,FM,12.5,"Woodstock, 34.0666827394933, -84.45471141",
38,"Zebulon Thomaston",462.575,,5,,88.5,88.5,023,NN,FM,12.5,"Zebulon, Thomaston",
