Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
1,"Alexandria ",462.625,,5,TSQL,123.0,123.0,023,NN,FM,12.5,"Alexandria",
2,"Anderson Mcema - Eoc",462.675,,5,TSQL,167.9,167.9,023,NN,FM,12.5,"Anderson, Mcema - Eoc",
3,"Auburn ",462.550,,5,,88.5,88.5,023,NN,FM,12.5,"Auburn",
4,"Avon West Indianapolis Raceway Road",462.675,,5,TSQL,136.5,136.5,023,NN,FM,12.5,"Avon, West Indianapolis Raceway Road",
5,"Bloomington Southern monroe county",462.550,,5,TSQL,136.5,136.5,023,NN,FM,12.5,"Bloomington, Southern monroe county",
6,"Burlington ",462.575,,5,TSQL,131.8,131.8,023,NN,FM,12.5,"Burlington",
7,"Columbia city ",462.550,,5,,88.5,88.5,023,NN,FM,12.5,"Columbia city",
8,"Crawfordsville ",462.675,,5,,88.5,88.5,023,NN,FM,12.5,"Crawfordsville",
9,"Elkhart ",462.550,,5,,88.5,88.5,023,NN,FM,12.5,"Elkhart",
10,"Elwood Harvest Market",462.575,,5,TSQL,136.5,136.5,023,NN,FM,12.5,"Elwood, Harvest Market",
11,"Evansville Deaconess midtown hospital",462.575,,5,,88.5,88.5,023,NN,FM,12.5,"Evansville, Deaconess midtown hospital",
12,"Floyd's Knobs  Floyd Knobs Overlook",462.600,,5,DTCS,88.5,88.5,351,NN,FM,12.5,"Floyd's Knobs , Floyd Knobs Overlook",
13,"Fort Wayne ",462.675,,5,,88.5,88.5,023,NN,FM,12.5,"Fort Wayne",
14,"Fort wayne  ",462.675,,5,,88.5,88.5,023,NN,FM,12.5,"Fort wayne ",
15,"Fort Wayne Bloomingdale",462.650,,5,TSQL,136.5,136.5,023,NN,FM,12.5,"Fort Wayne, Bloomingdale",
16,"French lick ",462.650,,5,TSQL,107.2,107.2,023,NN,FM,12.5,"French lick",
17,"Greencastle ",462.725,,5,,88.5,88.5,023,NN,FM,12.5,"Greencastle",
18,"Hammond ",462.725,,5,TSQL,107.2,107.2,023,NN,FM,12.5,"Hammond",
19,"Hammond ",462.575,,5,TSQL,107.2,107.2,023,NN,FM,12.5,"Hammond",
20,"Hudson ",462.700,,5,Tone,77.0,88.5,023,NN,FM,12.5,"Hudson",
21,"Indianapolis ",462.550,,5,TSQL,77.0,77.0,023,NN,FM,12.5,"Indianapolis",
22,"La Porte Att Tower",462.675,,5,TSQL,118.8,118.8,023,NN,FM,12.5,"La Porte, Att Tower",
23,"Lafayette ",462.600,,5,,88.5,88.5,023,NN,FM,12.5,"Lafayette",
24,"Lafayette ",462.575,,5,,88.5,88.5,023,NN,FM,12.5,"Lafayette",
25,"Michigan city Greenwood Cemetary",462.725,,5,TSQL,88.5,88.5,023,NN,FM,12.5,"Michigan city, Greenwood Cemetary",
26,"Michigantown  Clinton Central",462.625,,5,TSQL,131.8,131.8,023,NN,FM,12.5,"Michigantown , Clinton Central",
27,"Muncie ",462.650,,5,TSQL,118.8,118.8,023,NN,FM,12.5,"Muncie",
28,"New Castle ",462.600,,5,,88.5,88.5,023,NN,FM,12.5,"New Castle",
29,"Ogden Dunes Ogden Dunes 1",462.625,,5,TSQL,146.2,146.2,023,NN,FM,12.5,"Ogden Dunes, Ogden Dunes 1",
30,"Osceola ",462.600,,5,,88.5,88.5,023,NN,FM,12.5,"Osceola",
31,"Ridgeville ",462.600,,5,TSQL,77.0,77.0,023,NN,FM,12.5,"Ridgeville",
32,"Russiaville ",462.700,,5,TSQL,131.8,131.8,023,NN,FM,12.5,"Russiaville",
33,"Terre Haute North Terre Haute",462.650,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Terre Haute, North Terre Haute",
34,"Tippecanoe ",462.650,,5,TSQL,173.8,173.8,023,NN,FM,12.5,"Tippecanoe",
35,"Valparaiso ",462.700,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Valparaiso",
36,"Wabash ",462.675,,5,TSQL,114.8,114.8,023,NN,FM,12.5,"Wabash",
37,"West lafayette ",462.675,,5,,88.5,88.5,023,NN,FM,12.5,"West lafayette",
38,"West Lafayette Hoadley Tower",462.550,,5,TSQL,88.5,186.2,023,NN,FM,12.5,"West Lafayette, Hoadley Tower",
39,"Winchester  ",462.700,,5,TSQL,110.9,110.9,023,NN,FM,12.5,"Winchester ",
